@mightex_spectrum_save,2,2,0
7/30/2018 4:01:00 PM
SSE-1304-UW
13-171106-004
100
0
3648
92900
 3.53656800000000E+0002
 6.40170500000000E-0003
 1.46668800000000E-0005
 2.11796800000000E-0010
 1.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000

PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
0, 3.53656800000000E+0002, 6.97720000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.97720000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.21720000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76000000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
1, 3.53663216372092E+0002, 6.88200000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.88200000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.12700000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75500000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
2, 3.53669662079214E+0002, 6.54750000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.54750000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.82940000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.71810000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
3, 3.53676137122638E+0002, 6.28540000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.28540000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.51080000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.77460000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
4, 3.53682641503635E+0002, 6.12930000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.12930000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.36570000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76360000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
5, 3.53689175223475E+0002, 6.10070000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.10070000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.33190000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76880000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
6, 3.53695738283428E+0002, 6.10930000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.10930000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.34780000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76150000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
7, 3.53702330684766E+0002, 6.18050000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.18050000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.40960000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.77090000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
8, 3.53708952428760E+0002, 6.16890000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.16890000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.46600000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.70290000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
9, 3.53715603516680E+0002, 6.22600000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.22600000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.47180000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75420000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
