@mightex_spectrum_save,2,2,0
7/30/2018 12:41:27 PM
SSE-1304-UW
13-171106-004
100
0
3648
92900
 3.53656800000000E+0002
 6.40170500000000E-0003
 1.46668800000000E-0005
 2.11796800000000E-0010
 1.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000

PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
0, 3.53656800000000E+0002, 1.55510000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.55510000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.73000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.46780000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
1, 3.53663216372092E+0002, 1.57390000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.57390000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.24300000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.44960000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
2, 3.53669662079214E+0002, 1.55010000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.55010000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.06300000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.44380000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
3, 3.53676137122638E+0002, 1.56390000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.56390000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.67000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.47720000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
4, 3.53682641503635E+0002, 1.55490000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.55490000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.05000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.48440000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
5, 3.53689175223475E+0002, 1.57060000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.57060000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.46999999999998E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.47590000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
6, 3.53695738283428E+0002, 1.53860000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.53860000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.65999999999999E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.45200000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
7, 3.53702330684766E+0002, 1.54150000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.54150000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.64000000000001E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.46510000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
8, 3.53708952428760E+0002, 1.51750000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.51750000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.15000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.43600000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
9, 3.53715603516680E+0002, 1.49920000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.49920000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.75000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.44170000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
