@mightex_spectrum_save,2,2,0
7/30/2018 3:28:10 PM
SSE-1304-UW
13-171106-004
100
0
3648
92900
 3.53656800000000E+0002
 6.40170500000000E-0003
 1.46668800000000E-0005
 2.11796800000000E-0010
 1.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000

PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
0, 3.53656800000000E+0002, 5.85480000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.85480000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.12240000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73240000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
1, 3.53663216372092E+0002, 5.84560000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.84560000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.11640000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.72920000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
2, 3.53669662079214E+0002, 5.49300000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.49300000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.77000000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.72300000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
3, 3.53676137122638E+0002, 5.31230000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.31230000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.58200000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73030000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
4, 3.53682641503635E+0002, 5.24670000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.24670000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.52630000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.72040000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
5, 3.53689175223475E+0002, 5.21250000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.21250000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.46250000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75000000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
6, 3.53695738283428E+0002, 5.18510000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.18510000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.48930000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.69580000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
7, 3.53702330684766E+0002, 5.26520000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.26520000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.52890000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73630000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
8, 3.53708952428760E+0002, 5.21030000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.21030000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.52970000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.68060000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
9, 3.53715603516680E+0002, 5.29510000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.29510000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.57690000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.71820000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
10, 3.53722283949797E+0002, 5.31560000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.31560000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.60620000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.70940000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
11, 3.53728993729382E+0002, 5.33920000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.33920000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.56040000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.77880000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
12, 3.53735732856705E+0002, 5.31980000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.31980000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.58330000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73650000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
13, 3.53742501333038E+0002, 5.32150000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.32150000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.55890000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76260000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
