@mightex_spectrum_save,2,2,0
7/30/2018 4:04:49 PM
SSE-1304-UW
13-171106-004
100
0
3648
92900
 3.53656800000000E+0002
 6.40170500000000E-0003
 1.46668800000000E-0005
 2.11796800000000E-0010
 1.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000

PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
0, 3.53656800000000E+0002, 6.44400000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.44400000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.68180000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76220000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
1, 3.53663216372092E+0002, 6.45070000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.45070000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.69120000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75950000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
2, 3.53669662079214E+0002, 6.11140000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.11140000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.34490000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76650000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
3, 3.53676137122638E+0002, 5.91050000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.91050000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.13220000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.77830000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
4, 3.53682641503635E+0002, 5.75490000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.75490000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.97950000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.77540000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
5, 3.53689175223475E+0002, 5.64620000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.64620000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.87950000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76670000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
6, 3.53695738283428E+0002, 5.69630000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.69630000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.94740000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.74890000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
7, 3.53702330684766E+0002, 5.71220000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.71220000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.95950000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75270000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
8, 3.53708952428760E+0002, 5.75150000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.75150000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.01970000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73180000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
9, 3.53715603516680E+0002, 5.79700000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.79700000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.04260000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75440000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
10, 3.53722283949797E+0002, 5.77900000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.77900000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.00980000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76920000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
11, 3.53728993729382E+0002, 5.79850000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.79850000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.99850000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.80000000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
12, 3.53735732856705E+0002, 5.73970000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.73970000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.95900000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.78070000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
13, 3.53742501333038E+0002, 5.75870000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.75870000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.01210000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.74660000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
14, 3.53749299159650E+0002, 5.82050000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.82050000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.07530000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.74520000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
